num	summary_zh	summary_takeaways	summary_meta	summary_status
28	11 年只接觸過一次投資人，蘇基明（Jimmy）卻把 CYBERBIZ 做到超過 150 億台幣 GMV、養起 200 多人團隊。Part 5，他談公司如何從 2021 年跨境美國、22 年日本、23 年再進東南亞，也談與露天市集攜手的「共存」邏輯，以及觀察多年、還沒真正推出的零售媒體網路（RMN）。	先自己活下來，再談投資人｜Jimmy 11 年來只在 2017 年短暫接觸過投資人，因預期落差太大作罷，直到去年才首度引入加世達與露天兩位策略投資人。 ‖ 跟平台不是對抗，是把餅做大｜CYBERBIZ 與露天合作，讓官網商家透過 API 直接 listing 到露天，露天的商店街客人也能延伸出自己的獨立站。 ‖ 小市場也能是一種優勢｜Jimmy 直言這套一站式模式換到更大的市場未必活得下來，但在台灣，一座楊梅倉儲就能服務全台，撐起 150 億 GMV。	CYBERBIZ 順立智慧創辦人蘇基明（Jimmy）專訪：11 年只接觸過一次投資人，卻拓展跨境美日東南亞、攜手露天市集把餅做大，GMV 破 150 億、養起 200 多人團隊，談智慧零售下一個十年佈局。	ready-for-review
29	訪完 CYBERBIZ 創辦人 Jimmy，三位主持人回到麥克風前換個角度：假裝自己是投資人，評估這間服務超過三萬五千名客人、GMV 破 150 億台幣的公司值不值得投。他們聊工程師背景怎麼塑造出 turnkey 邏輯，也聊 2014 年若坐在 Jimmy 對面看 term sheet，會不會把這筆投資 pass 掉。	當年可能會被 pass｜Tim 直言回到 2014 年看 term sheet，高資本支出的倉儲物流、三線並進分散 focus、加上低毛利模式，投資決策其實很難拍板。 ‖ 硬體人的一條龍思維｜Tim 觀察 Jimmy 提供的不是單一 plugin，而是完整的 turnkey solution，這種思維來自他晨星時期的硬體工程師背景。 ‖ AI 建站簡單，也是隱憂｜主持人討論到如今用 Cursor、Loveable 就能免碼建出好看網站，CYBERBIZ 賴以立足的金流、物流基礎建設正被 AI 新創快速追趕。	Storys 創業之聲主持人訪後收穫：從投資人視角回看 CYBERBIZ 順立智慧創辦人 Jimmy，服務三萬五千客、GMV 破 150 億，拆解工程師背景撐起的 turnkey 邏輯，與 AI 免碼建站帶來的隱憂。	ready-for-review
30	二十出頭靠球鞋、服飾生意月入百萬，卻因得罪一個大盤商、十七個經銷點同時抽單而一夕破產——黃晨皓（Kim）沒有停下，2015 年用 90 萬資本額、三個創辦人起步，做出台灣年輕女性最熟悉的網路媒體 PopDaily。從 Yahoo 首頁 13 個粉絲暴衝到 13 萬，再到 2023 年個人又瀕臨破產、轉身開課當心態教練，他聊流量與道德。	會吸引人，不代表有商業模式｜Kim 早年拍的街訪影片單支就有數千萬觀看，卻一毛錢都沒賺到，讓他明白「單純吸引眼球沒用」，後來才把同樣技巧收攏進 PopDaily、逼流量在 Day 1 就變現。 ‖ 先做廣，再做深的 T 型策略｜PopDaily 早期什麼都報，紅了之後把美食類獨立拆成「波波發胖」等垂直頻道，用矩陣式擴張讓粉絲量體持續領先同業。 ‖ 流量不能越過道德線｜Kim 提到團隊訂下「UPF」原則——內容必須同時對 user、partner、family 都好，堅持不做消費藝人死訊等博流量的報導，即使這會犧牲部分點閱。	PopDaily 波波黛莉與阿金人生進化中創辦人黃晨皓（Kim）專訪：從破產球鞋批發到 90 萬資本額做出台灣女性媒體龍頭，Yahoo 首頁 13 粉衝到 13 萬，談流量變現、UPF 道德原則與恆毅力。	ready-for-review
31	訪完 PopDaily 創辦人阿金那天，剛好是節目錄製的第十間公司。三位主持人 Jonathan、Tim、Johnson 回到麥克風前，不只回顧阿金「先做廣再做深」的媒體經營心法，也一起整理出這十位創辦人身上意外雷同的特質——原來從 3D 列印到旅遊平台，成功的路徑其實有跡可循，關鍵字是勇氣與執行力。	先求廣，再求深｜PopDaily 策略是先用廣泛內容吸引大量受眾，再靠深度專訪養出信任與熟悉感，帶動流量與黏著度一起起飛。 ‖ 洞察不稀有，執行力才稀有｜KKday 陳明明早在 2000 年就看到旅遊業與網路的交集，但真正拉開差距的是二十年來一直做、不斷做的執行力。 ‖ 勇氣才是共同的分母｜從父親驟逝仍抵押遺產救公司的 Ray，到十位創辦人幾乎都在看到機會的當下，選擇放手一搏而不是猶豫內耗。	Storys 創業之聲主持人 Jonathan、Tim、Johnson 訪後討論：PopDaily 創辦人阿金專訪心得，以及回顧過去十場訪談中，Phrozen、KKday、Vacanza 等台灣品牌創辦人共同展現的勇氣與執行力特質。	ready-for-review
32	小時候家裡因為叔叔賭博被迫賣掉大半家產，讓林鼎鈞（Dennis）從國小就對金錢充滿焦慮與渴望。這股焦慮沒有消失，反而變成一路轉型的動力——從群眾募資平台 Hero，到與 YouTuber 合作接業配，最後打造出年度 GMV 破十億的內容產業平台 PressPlay。	急迫性，讓你比別人快｜Dennis 常說自己想彌補高中到大學「死去的七年」，這股急迫感讓他一看到方向就立刻執行，也推著他在賽道走不通時果斷轉型。 ‖ 看不懂的市場，先算過再進場｜音樂人群眾募資的 TAM 太小，他算到一半就放棄，改把訂閱平台從打賞模式轉型成知識型創作者的付費訂閱專欄。 ‖ 先驗證 MVP，再談規模｜決定轉型前，他跟 Rob 先花兩個月幫網紅群人談成 8 個業配案、接案率百分之百，用具體成績驗證方向可行才全力投入。	PressPlay 共同創辦人暨 PressPlay Academy 執行長林鼎鈞（Dennis）專訪：從國小就有的金錢焦慮出發，歷經 Hero 群眾募資平台的失敗與兩次轉型，打造出年度 GMV 十幾億的創作者經濟平台。	ready-for-review
33	節目名稱從「創業之聲」改成刻意拼錯的 Storys，用不完美的拼法提醒聽眾：真正的力量來自掙扎與犯錯。這集 Jonathan 與 Tim 除了公布改名背後的想法，也回顧 PressPlay 創辦人 Dennis 身上那股「明天不是 guaranteed」的急迫感。	拼錯的名字，藏著真心話｜把 stories 故意拼成 storys、少了一個 e，是想告訴聽眾：成就從來不是完美無缺，而是來自不完美的掙扎時刻。 ‖ 急迫性帶動執行力｜Dennis 因為想彌補浪費掉的七年，做事永遠是「今天就做」，這股急迫感直接驅動了他一次次的市場轉型。 ‖ 賽道定義決定天花板｜兩位主持人認為 PressPlay 真正的競爭對手不是同業學習平台，而更像是切入知識領域的 YouTube。	Storys 創業之聲主持人 Jonathan、Tim 訪後討論：PressPlay 創辦人林鼎鈞（Dennis）專訪心得，並首度公開節目從「創業之聲」改名為刻意拼錯的 Storys、以不完美提醒聽眾力量來自掙扎的品牌故事。	ready-for-review
34	十二歲就進實驗室做研究、十六歲從華盛頓大學畢業，徐安廬（Andrew Hsu）拿了三個學位後進史丹佛讀神經科學博士班，卻中途輟學，加入 Peter Thiel 的第一屆 20 Under 20 獎學金。這位天才少年後來與室友 Connor 苦讀一年半 AI 論文，才打造出下載破千五百萬次的語言學習 App Speak。	先研究一年半，再動手做｜確信語音與語言模型會在五到十年內超越人類前，Andrew 和 Connor 花了 18 個月讀論文、旁聽史丹佛課程才動手做 Speak。 ‖ 護城河很少，把基本功做深｜Andrew 不太相信技術護城河，堅持自建課程內容與教學方法「Speak Method」，靠產品專精度贏過對手。 ‖ 看準趨勢，願意等待｜2016 年就篤定語音辨識終將成熟，Speak 熬到 2019 年才找到 PMF，2022 年 Whisper 問世後成長才真正起飛。	Speak 共同創辦人暨 CTO 徐安廬（Andrew Hsu）專訪：從天才少年、史丹佛輟學生到 Thiel Fellowship 第一屆學員，苦讀一年半 AI 技術，打造出下載破千五百萬次的語言學習獨角獸 Speak。	ready-for-review
35	小學跳級進了自由班，他一時興起偽造了一張老師發的代幣、還簽上自己的名字——這是徐安廬（Andrew Hsu）童年最調皮的一刻，父親得知後沒有責罵，只說「沒想到你會做這種事」。Jonathan 與 Tim 這集用中文補完英文訪談沒說完的故事：從西雅圖自學神童到 Speak 創辦人的完整成長史。	贏在起點，不如贏在終點｜Tim 讀完傳記後有感，Andrew 父親的態度是：孩子只是贏在起點，重要的是終點在哪，別浪費超前學習換來的時間。 ‖ 六五比三五的取捨｜推薦人 Bostrom 教授建議 Andrew 進大學後六成五時間顧課業，其餘三成五留給世界兒童基金會等課外事。 ‖ 先想清楚，再一頭栽進去｜看到 AI 機會時，Andrew 和 Connor 沒有馬上做產品，而是先花一年半讀論文、旁聽史丹佛課程才動手。	Storys 創業之聲主持人 Jonathan、Tim 特別篇：解讀 Speak 共同創辦人徐安廬（Andrew Hsu）從西雅圖自學神童、Thiel Fellowship 第一屆學員，到打造語言學習 App 的完整成長故事。	ready-for-review
36	8歲那年，他把老師發的假獎勵幣偷偷放回錢箱、還簽上自己的名字——這個「作弊」的孩子，後來12歲就進大學實驗室做DNA定序。Jonathan、Tim用全英文，逐章拆解Andrew Hsu（徐安廬）13歲出版的自傳《Not Just a Genius》，回推Speak這間AI公司的起點。	被體制擋下的憤怒也是燃料｜他10歲被高中老師以「沒繳學費」拒於門外，從此奉Steve Jobs那句「系統是人做的，你能改變它」為座右銘。 ‖ 教小孩的方法25年沒變｜10歲和弟弟創辦World Children's Organization，用情境教學做兒童英語教材，25年後Speak仍用同一套情境教學法教語言。 ‖ 失敗過一次才懂鎂光燈的代價｜他12歲就是英特爾科展最年輕參賽者，第一次創業Aerie Labs卻找不到PMF、還遭大量負面報導，才學會盛名背後的責任。	Speak 共同創辦人徐安廬（Andrew Hsu）特別篇：Storys主持人Jonathan、Tim全英文導讀他13歲出版的自傳，從12歲進大學實驗室、休學史丹佛到創辦Speak，回推這位天才創業者25年不變的教育初衷。	ready-for-review
37	在英特爾的方格子座位裡，一整週不跟人說話也沒人發現——25歲的他因為太安逸而慌了。吳昕霈（Jeffrey）於是離開英特爾，轉戰麥肯錫，35歲決定回台灣做一件沒人做過的事：把台灣1400多萬輛機車的3%使用率，變成一門共享電動機車生意，也就是後來的WeMo。	先把自己丟進不舒服｜在英特爾每天3點就沒事做的他自認太安逸，轉戰麥肯錫後第一天就被客戶問「你是新來的？」，從零學起跟C level溝通。 ‖ 數據先於熱情｜買車前先辦了三、五十場焦點訪談、訪了近三百人，才定出機車離用戶不超過百公尺、拿出鑰匙5秒內要能發動的規格。 ‖ 自以為是也要先上路｜第一批200台車上路當天壞了150台，才發現200台密度根本不夠，逼出千台規模的擴張，才等到真正的PMF。	WeMo 共同創辦人吳昕霈（Jeffrey）專訪：從英特爾工程師、麥肯錫顧問到35歲回台創業，靠三、五十場焦點訪談打造共享電動機車服務，帶著兩百台車起步，一步步摸出如今共享機車通用的營運模式。	ready-for-review
38	訪談結束三、四週後，好消息傳來：WeMo在今年第三季正式轉虧為盈，剛好是公司成立滿十年。Jonathan、Tim回到麥克風前，聊吳昕霈這一路從英特爾工程師到麥肯錫顧問，如何靠一次次主動跳出舒適圈，把共享電動機車從200台車的小規模，做成能和Gogoro、iRent分庭抗禮的台灣主要玩家。	舒適圈是拿來跳出的｜兩人指出Jeffrey的故事一直圍繞同一件事：從英特爾的方格子座位到麥肯錫第一線面對C-level，每次轉職都在主動找不舒服。 ‖ 笨方法也是護城河｜兩人聊到Jeffrey即使資金比對手Gogoro、iRent少一兩個零，仍堅持在每篇新聞稿上手動加註自家名字，靠人工累積聲量。 ‖ 小細節決定留客率｜兩人指出WeMo連解鎖等待時間超過某個秒數都會拉低使用者評分，這種精細度才是200台車能撐到破千台的關鍵。	Storys 主持人訪後回顧｜Jonathan、Tim解讀WeMo共同創辦人吳昕霈（Jeffrey）的十年創業路：從安逸到跳出舒適圈，用焦點訪談和新聞稿苦功，在共享電動機車紅海中迎來轉盈。	ready-for-review
39	10歲那年父親打開一台電腦，MIDI音樂一放，他從此迷上寫程式；大學翹課翹到骨子裡，唯一沒翹的是幫學長修電腦——這通電話後來變成他的第一次創業。林之晨（Jamie）從碩網撐過.com泡沫，到帶著十萬美金存款回台灣創立AppWorks，用免費、不拿股權的加速器模式，陪出破兆元市值的新創生態系。	翹課翹出下一段人生｜他自認台大念的書用不到一成，卻因參加籃球校隊、幫學長修電腦，被找去1999年一起創辦碩網，開啟創業生涯。 ‖ 活下來比夢想大更重要｜碩網原本要做電子商務，.com泡沫後被迫轉型B2B軟體才存活下來，如今靠AI續命，成了台灣新上櫃公司之一。 ‖ 用社會工程逼人卸下心防｜他借鏡當兵經驗，故意把demo day弄得嚴肅正式，讓創業者一起承擔壓力，逐漸打破台灣創業圈文人相輕的習慣。	AppWorks 創辦人林之晨（Jamie）專訪：從10歲自學寫程式、翹課大學生到碩網共同創辦人，撐過.com泡沫後回台創辦免費不拿股權的新創加速器，用社會工程逼創業者互相扶持，陪出破兆元市值的台灣新創生態系。	ready-for-review
40	從1998年的.com浪潮到今天的AI與東南亞，Jonathan、Tim回到麥克風前，解讀AppWorks創辦人林之晨（Jamie）橫跨三個網路世代的韌性，也聊起他父親、前台大醫院院長林芳郁醫師，如何在紅包文化盛行的年代堅持不收，最終根除整個體系的陋習。	橫移力比夢想更耐用｜Tim指出Jamie從Web 1.0一路做到Web 3、AI與東南亞，靠的不是原本的計畫成真，而是不斷跟著市場改造自己和公司。 ‖ 利他是會遺傳的｜兩人聊到Jamie的父親林芳郁醫師堅持不收紅包、最終終結台大醫院陋習，這種利他精神也延續進AppWorks不拿股權的模式。 ‖ 陪伴比給錢更值錢｜兩人提到WeMo等校友靠AppWorks在東南亞的在地人脈快速複製商業模式，證明陪新創走完PMF比單純投錢更關鍵。	Storys 主持人訪後回顧｜Jonathan、Tim解讀AppWorks創辦人林之晨（Jamie）橫跨三個網路世代的橫移力，以及父親林芳郁醫師終結紅包文化的利他精神，如何塑造出免費不拿股權的加速器模式。	ready-for-review
41	18 歲那年父親過世，小慧姊得扛起家計，從業務新人做到中興百貨主管。看到黏貼式內衣 NuBra，她毅然代理進台灣，記者會一炮而紅卻換來仿冒潮、一場拖兩年的官司，資金被卡三千萬。她靠電視購物撐過 SARS 的燃眉之急，把 NuBra 專櫃評鑑做到百貨第一，二十年後再把經營新法帶進先生家族的眷村醬料品牌福忠字號。	沒有匱乏，就不會有企圖心｜小慧姊坦言正因 18 歲家道中落、缺錢養家，才逼出賺錢的企圖心；她認為經濟無虞的人反而容易想得多、做得少。 ‖ 先過這一關，再談堅持｜官司卡住現金、又遇上 SARS，她放下「只做百貨品牌」的堅持，先上電視購物換現金週轉，撐過頭兩年後才回頭建立專櫃形象。 ‖ 交棒要交到自己也心痛的比例｜她把 NuBra 交給總經理游慧卿時堅持對方持股過半（她 45、對方 55），她說唯有讓接班人真正當家做主，才會把公司當成自己的孩子經營。	NuBra Taiwan & 福忠字號創辦人小慧姊專訪：從喪父後扛起家計的業務新人，到代理女性內衣品牌 NuBra，一路撐過仿冒亂象與 SARS 期間的官司資金卡關，交棒接班人後再與先生打造眷村醬料品牌福忠字號的雙品牌創業歷程。	ready-for-review
42	訪談結束後，Jonathan 和 Tim 才發現一件事：原來 Tim 從小到大都跟小慧姊的女兒 Candy 是同班同學，卻從沒想過那位同學的媽媽是打造 NuBra 的創辦人。兩位主持人回到麥克風前，聊小慧姊從業務生涯練出的膽識、遇見中興百貨貴人徐莉玲的際遇，還有她「傳賢不傳子」的交棒決定，帶出他們自己對領導與傳承的體悟。	業務底薪不設頂，才敢放手拚｜Tim 和 Jonathan 都認同：業務薪水沒有天花板，願意付出多少就能拿回多少，這種誘因正是小慧姊當年敢拚敢闖的起點。 ‖ 認真對待當下，貴人才會出現｜Jonathan 觀察小慧姊學歷不高卻願意認真對待每個客人與夥伴，才讓哈佛企管、中興百貨的前輩願意栽培她，機會是自己做出來的。 ‖ 知識要能被記錄，才配被升遷｜Jonathan 引用《Unreasonable Hospitality》書中觀點：只有自己懂的事會卡住升遷，唯有把經驗傳承下去、讓後面有人補上，才是真正該被拔擢的人才。	Storys 主持人 Jonathan、Tim 訪後回顧 NuBra 創辦人小慧姊專訪：從業務生涯的膽識養成，到遇見貴人徐莉玲，再到「傳賢不傳子」交棒新一代的領導與傳承心法。	ready-for-review
43	12 歲上大學、19 歲拿到 Teal Fellowship 獎學金——AI 語言學習軟體 Speak 創辦人 Andrew Hsu 的故事太精彩，Storys 主持群決定不只讓耳朵聽見。這集特別公告：9 月錄製的深度對談，已剪成中英雙語字幕影片上架 YouTube，讓聽眾邊吸收創業乾貨、邊學英文。	含金量高的內容，值得換個載體｜主持群認為 Andrew 的分享用了大量科技與創業術語，純音訊不夠，於是加上雙語字幕搬上 YouTube，讓內容更好吸收。 ‖ 特別公告也能是一種服務｜這集本身不是訪談，而是主持群主動告知聽眾：影片版連結已放在節目資訊欄，方便大家轉往 YouTube 收看。 ‖ 傳奇的起點，往往濃縮成一句話｜主持群用「12 歲上大學、19 歲拿 Teal Fellowship」兩個數字，直接點出 Andrew Hsu 為什麼被稱為傳奇人物。	Storys 特別公告：AI 語言學習軟體 Speak 創辦人 Andrew Hsu 專訪，已剪成中英雙語字幕版上架 YouTube，12 歲上大學、19 歲拿 Teal Fellowship 獎學金的傳奇創業故事，邊聽邊學英文。	ready-for-review
44	在美國 CES 展場，一位買家當著他的面罵「你們亞洲人把市場搞爛了」——謝賀祥（Jack）後來才懂，那是在說他的產品太好、賣得太便宜。從 Acer 硬體人到 Yahoo 電商人，兩次創業都因鎖錯受眾而卡關，他在第八年悟出：這輩子我非解這一題不可。於是他把外婆做旗袍的手藝，重新詮釋成用 AI 掃描布料的 NunoX。	被罵，可能代表你做對了｜CES 展場上被美國買家痛罵「賣太便宜」，Jack 事後才理解台灣代工思維長期用毛利定價，而不是用品牌溢價定價，這句羞辱反而點醒了他。 ‖ 新創沒有資源教育市場｜他的第一次創業把受眾鎖定在小眾 Maker，才發現這群人本身賺不到錢，也付不出錢；他總結：新創沒有地位、沒有資源去教育一個還不存在的市場。 ‖ 十年磨一題，才敢說非解不可｜在紡織業打滾近十年、看過大量二代接班老闆的真實困境後，Jack 才確信自己有機會做得比別人好，選擇用 NunoX 把老師傅的經驗數位化、傳承下去。	NunoX 創辦人謝賀祥（Jack）專訪：從 Acer、Yahoo 大廠磨練到兩次創業碰壁，CES 展場上被買家痛罵反成轉念契機，他把外婆做旗袍的手藝化為使命，用 AI 布料掃描與雲端供應鏈解構台灣紡織產業的傳承難題。	ready-for-review
45	訪完謝賀祥（Jack），Jonathan 和 Tim 回到麥克風前，聊的第一件事竟是他外婆——一位小兒麻痺、卻天天背著他跑遍街頭做旗袍的裁縫師。兩人接著談起 Jack 在大企業磨了十多年才出來創業的路徑，以及那句曾讓他在 CES 展場被外國買家痛罵的話，如何反過來變成他重新定義品牌溢價的關鍵一課。	家庭背景，藏著創業的根｜Tim 特別提到 Jack 從小被身障外婆一跛一跛背大、又看著母親經營腳踏車生意，認為這些成長細節深深影響了他後來做 NunoX 的初衷。 ‖ 磨得越久，看得越遠｜Jonathan 觀察 Jack 在 Acer、Yahoo 待了十多年才出來創業，和 Ray、Jimmy 等受訪者一樣，資歷累積得越久，回頭看反而更能看懂自己在解什麼問題。 ‖ 被罵慘，也可能是被稱讚｜兩人重新解讀 CES 展場上「你們亞洲人把市場搞爛了」這句罵，認為那其實點出台灣長期用毛利定價、而非用品牌溢價定價的思維落差。	Storys 主持人 Jonathan、Tim 訪後回顧 NunoX 創辦人謝賀祥（Jack）專訪：從外婆做旗袍的家族背景，到大廠十多年磨練與 CES 展場受辱的一課，解讀紡織世家的傳承與品牌國際化心法。	ready-for-review
46	16位創辦人的紅包裡裝的不是錢，是韌性。Storys春節特輯，Jonathan、Tim、Johnson角色互換，回頭拆解一年半來訪過的16位創辦人：從KKday陳明明疫情中轉向國旅、WeMo吳昕霈封城時忍痛裁員，到Phrozen在Amazon三天賣光貨櫃，四大主題「起點、生存、工具、信仰」，串起這些創業者共同的Grit與Why。	經驗決定黑天鵝時的判斷｜陳明明在SARS期間把易遊網轉向國旅、Jeffrey在封城時忍痛裁員又開外送，都靠實務經驗，不是靠數據。 ‖ AI時代拚的是體驗不是模型｜Speak的Andrew指出大家都能買到同樣的底層AI技術，真正拉開差距、無法被取代的其實是使用者體驗。 ‖ 初衷不必偉大也能撐十年｜拓元KT做售票純粹因為愛打棒球「for my own pleasure」，4foodie Ava的起點只是手機沒容量，卻都撐了超過十年。	Storys 創業之聲春節特輯：主持人Jonathan、Tim、Johnson回顧16位創辦人，橫跨起點、生存、AI工具、信仰四大主題，解析KKday、WeMo、Phrozen、Speak等品牌背後共同的韌性與初衷。	ready-for-review
47	一支用iPhone 5前鏡頭拍的自我介紹影片，晚上11點58分上傳，從此改寫了她的人生。Megan從SK-II徵選影片起家，度過「星巴克女孩」到「國民閨蜜」的十年身份轉換，也熬過一段斷崖式分手的情傷，最終把痛苦寫成書、拆解成方法論，2026年推出全新品牌soft skill savant，帶更多人拿回人生主控權。	先開始，別等準備好｜21歲的Megan完全沒有影片背景，用免費版威力導演剪完SK-II徵選片就投稿，她說機會來了先抓住，別想太多。 ‖ 訂閱數不是越高越好｜她刻意把訂閱維持在10萬上下，因為訂閱數再往上報價廠商反而請不起，10萬區間收入最穩定，業配自己找上門。 ‖ 情傷也能變成商業模式｜25歲那年一場COVID期間的斷崖式分手，讓她從此開始分享情感內容，後來更寫成書、拆解出soft skill savant的品牌雛形。	soft skill savant 創辦人Megan專訪：從iPhone 5拍SK-II徵選影片到「國民閨蜜」，走過十年網紅路與一場斷崖式情傷，2026年創立soft skill savant，用自我成長方法論幫更多人拿回人生主控權。	ready-for-review
48	螢幕前後是同一個人，這件事有多難？主持人Jonathan、Tim回到麥克風前，聊聊訪完Megan之後的收穫。他們發現，這位國民閨蜜身上最特別的，不是十年累積的粉絲量，而是她把一段斷崖式分手的情傷，轉化成幫助他人的內容，甚至在2026年砍掉重練，創立全新品牌soft skill savant。	真實比人設更難維持｜Megan是他們訪過的第三位內容創作者，卻是唯一被兩人形容線上線下毫無落差、完全不需要切換人設的一位。 ‖ 拒絕率不是用來被打敗的｜Tim用交易勝率與Federer輸掉近半局分數類比：51%勝率就能成為頂尖操盤手，Rejection is Redirection。 ‖ 砍掉重練也需要底氣｜即使Megan's Talk已是成功的個人品牌，Megan仍在2026年重新從零打造soft skill savant，主持人認為這份自信才是關鍵。	Storys 創業之聲主持人訪後收穫：Jonathan、Tim回顧與Megan的深度對談，解析國民閨蜜十年創作路上的真實性拉扯、情傷轉化與2026年創立soft skill savant的底氣。	ready-for-review
49	同學眼中「夕陽產業」的中藥行，二代接班人吳孟宸卻靠一句「聽都沒聽過誰敢買」的客訴，走進誠品、走進百貨公司。他從旅行社導遊轉行，回登義後先在倉庫蹲了三年學徒，才被允許接觸客人；疫情一度燒光五年積蓄、逼出恐慌症，也讓他重新定義品牌方向。一段從新莊老店走向國際舞台的中藥品牌接班故事。	被嫌沒聽過，其實是提醒｜客人一句「登義聽都沒聽過誰敢買」讓吳孟宸受挫，後來想通那代表「我們先前努力不夠」，反而成了接待客人的固定話術。 ‖ 疫情燒光五年積蓄才學會收斂｜封園超過三個月零遊客，他借錢照發薪水，最終燒光公司五年累積獲利，還被醫生確診恐慌症，才學會不再無頭蒼蠅式亂嘗試。 ‖ 解決問題比證明自己厲害重要｜母親被客人問倒方子，翻書一起查到答案，這一幕讓他明白登義的價值不是背熟五百種藥材，而是幫客人找到答案。	登義漢方營運長吳孟宸專訪：從自認「夕陽產業」的中藥二代，到旅行社導遊磨出的服務心法，再到疫情燒光五年積蓄、確診恐慌症後重新聚焦，帶領登義走進誠品與百貨公司的接班故事。	ready-for-review
50	店明明是爸媽的，二代孟宸回登義卻先被丟進倉庫做藥三年才准站上前台。主持人Jonathan、Tim訪後回到麥克風前，聊聊吳孟宸如何從這段學徒歲月，磨出「讓客人一眼認出你、卻又猜不透你在幹嘛」的百貨體驗心法，也聊到那封父母寫給兩兄弟、讓人動容的親筆信。	學徒式接班沒有捷徑｜即使店是爸媽的，孟宸回登義後仍先蹲倉庫做藥三年，才被允許到前台接觸客人，兩位主持人都對這點印象深刻。 ‖ 神秘感是留客的關鍵｜孟宸提到客人兩秒內就決定要不要進店，讓人一眼看穿就沒有好奇心，太模糊又沒人敢靠近，這個拿捏需要不斷試錯磨合。 ‖ 客人不買就追出去問為什麼｜兩人聊到孟宸在傳藝中心開店初期客人進來卻不買，他索性追出去問原因，靠這種放下面子的試錯，一步步磨出店該長什麼樣。	Storys 創業之聲主持人訪後回顧：Jonathan、Tim解析登義二代接班人吳孟宸三年倉庫學徒路、選對場域解客人問題的經營心法、百貨體驗店的客戶心理學，以及父母親筆信的感動時刻。	ready-for-review
51	手搖飲紅海裡，有人選擇賣一種光發酵就要三十天、清潔要求極高的冷門茶種——康普茶。Kure8 創辦人 Nehemiah 在美國喝慣了康普茶，疫情期間在家釀了近千瓶送給親友，才決定開店；如今從大安一路展到南港、忠孝三間店，撐住了 88 元起跳、比手搖飲貴上一倍的定價。他的目標很直接：做出亞洲最具代表性的康普茶品牌。	先自己過量產關，再開店｜在淡水租的小廚房裡，他從一個月兩三瓶做到近千瓶，親友喝到最後都不好意思白喝，他才第一次開口收費、正式開店。 ‖ 市場沒有，是機會不是警訊｜台灣當時幾乎沒有專賣康普茶的手搖店，他不怕沒人做過，反而視為早期卡位的空間，花六年把個人品牌做成三間實體店。 ‖ 定價要對客群，別跟低價比｜康普茶光第一次發酵就要三十天，成本比一般手搖飲多好幾道工序，他把價格訂在 88 元起，刻意不跟 50 嵐等低價手搖飲搶客群。	Kure8 康普茶創辦人 Nehemiah 專訪：從美國帶回康普茶的習慣，疫情期間關在家裡自己釀酒到一個月近千瓶，靠家人朋友口碑撐起大安第一間店，再展店到南港、忠孝共三間店，定價 88 元起、刻意不與低價手搖飲競爭，目標成為亞洲最具代表性的康普茶品牌。	ready-for-review
52	訪問 Kure8 創辦人 Nehemiah 之後，Jonathan 和 Tim 回到麥克風前，聊聊這個手搖杯品牌不太一樣的地方：IG 上幾乎不賣產品，反而在經營生活風格；而四到六週的發酵製程，才是別人學不走的真正壁壘，也讓他敢把加盟名單先擱著，只想先把品質顧穩。	行銷賣體驗，不賣產品｜Tim 觀察 Kure8 的 IG 很少直接推銷康普茶，反而像法拉利靠賽事塑造形象，讓消費者買的其實是「年輕健康生活」的體驗。 ‖ 製程門檻，就是護城河｜Jonathan 指出康普茶要多花四到六週發酵，原物料進來不能馬上賣，這個時間成本正是其他手搖杯品牌不敢跟進的原因。 ‖ 先顧品質，加盟名單先擱著｜Tim 提到很多人想加盟 Kure8，但創辦人選擇先把基本盤顧好、暫不開放，避免衝太快讓品質跟不上。	Kure8 康普茶創辦人 Nehemiah 專訪後，主持人回顧他從腸胃不適的個人需求出發，靠四到六週的發酵製程與生活風格式行銷，把康普茶手搖飲做成台灣少見的品項，並剖析他為何暫緩開放加盟、先顧品質再展店的策略。	ready-for-review
53	標了八個月的政府標案，最後沒拿到。三個大男生失落之餘跑去北投泡溫泉，泡著泡著就決定：那我們來做冰浴吧。Chill Ice Bath 共同創辦人 Jacky Wang，曾是 Instagram 紐約辦公室的工程師，30 歲那年裸辭、開車環遊美國國家公園一年半，最後把「離開舒適圈」這五個字，具體做成一池四度C的冰水生意。	自由需要框架撐著｜一年半公路旅行前三個月很自由開心，三個月後卻開始孤單，他才體會到自由需要搭配一定的框架，才走得下去。 ‖ 把體驗拆到最簡單的元素｜他們把整套服務簡化成一冷一熱的 MEP，開店前先跑遍紐約、新加坡、峇里島等地考察冰浴文化，才把細節磨到適合台灣人。 ‖ 先辦活動教育市場，再開店｜開店前他們不斷跟跑團、瑜伽團合辦體驗活動，先用內容和活動把粉絲社群養出來，開店那天才不是從零開始招客。	Chill Ice Bath 共同創辦人 Jacky Wang 專訪：國中赴美讀高中、電機系畢業後自學寫程式跳進軟體業，做到 Facebook、Instagram 工程師，30 歲裸辭環遊美國國家公園一年半，回台後與 Matt、David 標案失利，轉而把冰浴桑拿做成台灣少見的 wellness 品牌。	ready-for-review
